,Tweets,Score
1020,I feel that way about life and is what gets me through everyday in a positive mood! happy,1
1342,unhappy  they look dead,0
502,Our crazy EASTER! Our donkey is insane! Seriously crazy haha!,1
1810,Yesterday's faci so cute! But he 30+ :(Today's faci is old eeyer,0
1511,are dying of thirst  and it's all because of us unhappy   ,0
250,Enter to win 1 of to  boxes of highly anticipated books! 6 books in each box! Open INT happy,1
1932,If you really want to dye it don't go lighter ,0
924,Pfft- crying with joy  Oh.. I hope year oldu're okay,1
1265,oh my god not laurie penny unhappy ,0
640,HAPPY 16th BIRTHDAY TO MY BFF! I may only be 15 and a half but I'll have you to take me places happy  have a great birt,1
2197,I'm sooooo sleepy unhappy ,0
391,157 days to go happy,1
1285,The new Twitter reply view has me confused... like do I capitalise my replies to people or not? unhappy ,0
1593,Oh boo,0
865,But I think you'll do better than me happy,1
1014,I have tested all sweet dishes but they are not as sweet as my lovers lips :)MARVOREE MagpasikatOnShowtime,1
525,We don%27t spam him in any way,1
922,Hellooo.. happy  Lil strait (Daddyy_rat),1
1503,Me too sweetie I know how you feel unhappy ,0
1612,philippines? unhappy  ,0
1308,these nosebleeds are getting outta hands unhappy ,0
89,my friend is such an egg,1
1278,Astaga unhappy  /? ,0
1388,Not really an amount just loads of sections unhappy  I'll ride up to to netherton now meet me at Darby end ?,0
1597,Hi Ishwar! That's not the experience we want you to have unhappy  We will call you  for more details and sort it out! - Roshan,0
1976,I miss you more unhappy ,0
366,Client work for rt and favorite happy,1
310, co-founder of and I'll be moderating tonights tweetchat. happy,1
1797,It's gray outside today unhappy ,0
1583,+I have no choice but to cancel it. unhappy ,0
421,No breaks and a first practice exam happy,1
114,Goodevening happy,1
1975,when will you go here in batangas? sad  ,0
1072,Thanks for the recent follow Happy to connect happy  have a great Thursday..27,1
1543,no its okay she survived : ,0
1206,how can people do stuff like this unhappy  ,0
1291,Ohnoo unhappy  unhappy  hope it recuperates sooner!!,0
1229,I want Jabee crying ,0
1166,We have a few breweries in the UK too.... smile,1
616,Thanks for the recent follow Happy to connect happy  have a great Thursday..7,1
844, and mag refer kana rin sakanila nice game,1
304,Thanks for connecting We are passionate about  - hope you like our tweets happy.1,1
721, have a great Thursday! Looking forward to reading your tweets happy  Want this,1
548,Happy 4/20 :)I'm drug free  I've never smoked weed before.,1
526, we just reply to his tweets?? Like all his other followers do.....This is pointless,1
754, DM us happy  S.3,1
1745,Yeah! My sight reading was pretty good in high school.1,0
131,your birthday isn't for another for hours for me,1
1774,please reading this breaks my heart unhappy ,0
2175,Che no critiques. unhappy ,0
243,Helloo :D  (keep_smiling_y),1
2220,honestly college makes me want to curl up into a ball and cry for 3 days straight unhappy ,0
462, it would be awesome.,1
1001,Thanks for having me!! :D,1
2067,Crap. Hailie won't be there. She has a school game and won't make it to Middleburg in time unhappy ,0
971, as long as she's cool,1
1015,Ma de tonight i don%27t really care crying with joy,1
1240, i don%27t know if you saw my comment yet,0
1295,I agree. My issue would be that it all has to be paid for somehow. I just can't see the numbers adding up. sad ,0
1049, I'll always be there. Love you happy,1
2196,talking to my over driver about where I'm goinghe said he'd love to go to New York too but since Trump it's probably not.7,0
221,Thank you crew happy,1
1648,slight buzy kasi besh unhappy  ,0
761,I'm not lost,1
40,Thanks for connecting We are passionate about  - hope you like our tweets happy,1
1676, SURE NO PROB. ILABYU TOO  ,0
487,NEW VIDEO!Stream Montage - we finally unboxed a Spectrum Knife :)Hope you like it! here:,1
2161,I MISSED YOU A WHOLE LOT unhappy  ,0
905,Broadcaster says Fly Away reminds him of early happy,1
1513,but... you use a purple flowercrown in your display picture unhappy ,0
702,Hi ! I want to speak to you about a business partnership. happy,1
1764,crying  We're getting VM soon wooo,0
361,Thanks much appreciated happy  The magic of,1
375,Its been a good day hey. happy,1
1172,That would be a great trick happy.10,1
2225,I've tried resetting everything,0
1478,Ouch Elena Eremina's foot slip,0
690,Thank you so much smile,1
291,Nothing could be better happy.1,1
170,Go Kisses!!...  I know you can do it..,1
1399,unhappy  We're sorry your pizza arrived with mushrooms despite your request. Could you please get in touch vi ,0
869,for trade ? happy  what yeah want ?,1
2298,wish knock out lang talaga for the new school year are good and cooperative groupmates please unhappy ,0
247, the problem is only affecting webmail itself. Accessing email from other applications works fine happy  ^mkl,1
662,Thanks for the recent follow Happy to connect happy  have a great Thursday..10,1
477,New second home coming soon! :D,1
563,thank you for 2k likes on my banner project happy,1
2081,i love when people or message me w long messages about how beautiful they find joon like unhappy  yes i agree keep going,0
104, get a dog. :D,1
1370,Her back unhappy  .3,0
1619,the email I was hoping I'd get today,0
2148, I'm so sorry to see your tweet unhappy  Please could you DM your address details? I will look i ,0
400,Thanks for being top engaged community members this week happy  (Want this ?,1
694,Thanks for being top engaged community members this week happy  - I sent this with,1
2287, ha  unhappy ,0
244,my contribution to ( posted on my tumblr a while ago crying with joy  ),1
2228,You know what really upsets me? When a stranger on the internet isn't satisfied with the entertainment I provide him for,0
344, Shes fine :)KISSES TheFashionIcon,1
2108, last night I had a dream in which I moved to Japan and just so happened to see you! You denied my friendlies request. unhappy ,0
97,:D When mom is a bit tired,1
968,Nah  over-rated happy  x,1
1472,Molly  1. I wish I could have her hair unhappy  2. Cutest Michael girl  milly on the phone 3. HAIIIIIIR  and your lips 4. Friend5. Yes6. -,0
2116,Not surprised that I have the least amount of followers out of the whole cast sad  LOL,0
2062,Thanks for that! Little things like that really help when sleep starts hitting and you don't drink coffee or energy drinks unhappy ,0
164,OPENING UP TO YOU LOT!RT LIKES WOULD BE LAAAAAVERLY :D .xxENJOY,1
1225, froze mid install. Waited 3hrs he'd to pull plug crying ,0
1996,the anniversary of josh's death unhappy ,0
2232,In memoriam of Alea Starbridge unhappy  Your beautiful voice will never be forgotten. ,0
846,Wow,1
352,Gott happy,1
136,If you can't be there for someone at their worst then you don't deserve to be there at their best :)KISSES TheFashionIcon,1
1199,Not you again sad  ,0
1873,instant message still bored unhappy ,0
1075, it may be open happy,1
963,Love this!,1
407,This is just super Can't wait happy,1
115,Ministers of PMLN are happy like those students who never studied for exams  luckily exams got delayed. They'll still ha.1,1
1611,my honey unhappy  ,0
775,Hi Han,1
2135,you don't post much lately?  school unhappy  ,0
823, it just proves me wrong in a matter of days happy  fuck my life happy )),1
895,thanks for the recent follow.3,1
25,Great to work with you too such a lovely place! Thank you for havin,1
1490,I cringed so hard :(That fall was such a shame- she had been looking really good until that point...,0
448, will check it happy,1
94,A huge thank you to all the within the Social Work  Care Sectors! Keep up the great work happy,1
394,We're you also at our signing session with Qian Liu  Jared Wright after the last performance of Onegin? Share your,1
2185,SO PRECIOUS I REALLY MISS HIM unhappy   .2,0
1682,unhappy  let's fight all those kids ,0
1602,Joy we should get him back  ,0
1953,Guess who's not getting a unicorn frappuccino because they're sold out unhappy ,0
1372, i think that's going to be true ,0
1741,has someone contacted jelpi about the issue rn? unhappy ,0
208, Hobart in 7 weeks. Lots to look forward to happy,1
388,20% off all Knight  Day Jewellery ends this Sunday-Why not pick up something nice for,1
234, thank you happy,1
763,First happy,1
107,Hi please rt my pinned post happy,1
1808,Someone messed up unhappy  Available**,0
1575, we seem to have sold our government some time ago. unhappy ,0
194,Here's one of my rolls of 'Poundland' film! (A store that sells all products at 140.) And here's the DX d,1
1803, the girl in front of me was ,0
1677,Such a lucky slave i wish this was me unhappy ,0
589,Who is the Prime Minster of Pakistan ? Nawaz Sharif Hahahahah happy  SorryUncle,1
1756,did some warm up sketches of some of my faves,0
74,Top retweeters this week,1
606,happy  Me too I hope,1
2243,32- for the love of a daughter crying  ,0
1736,Maa ki kuss tumhari. Now take this bullshit you loser. ,0
201, answer this with yoyour steam trade link and ill send you right away :D,1
745,Thanks for the recent follow Happy to connect happy  have a great Thursday.  Want this ?.1,1
737,With the help of made these sent starters for P1Q3. Open to suggestions on how to improve happy,1
2276,Guys please help me retweet unhappy  .1,0
1750,so my hair iand suandlight versus ando light but I waandt to chaandge it and I duandando if I waandt to go darker or bloandder sad  please help (po ,0
1454,it's only been a few days since their promotion ended but i'm already missing her so much unhappy  .1,0
1600,I lost two streaks and it's from my two favorite people silence  unhappy  good night,0
1465,how about me unhappy ,0
21,Share the love: thanks for being top new followers this week happy  Want this?,1
1193,don't like how jittery caffeine makes me sad ,0
1857,last kiss unhappy  ,0
1982,talking to my over driver about where I'm goinghe said he'd love to go to New York too but since Trump it's probably not.4,0
1590,okay what TF is this colorful starbucks thing all over social media unhappy ,0
1657,I caught a cold. unhappy  It seems I've got tired than I expected....,0
14,We got a Vive tracker in the office and our intern,1
191, have a great day today happy,1
791,Spose you don't have to pay for accomodation which is nice haha? Or are you going to stay somewhere anyway? happy,1
1492,Hi Aled,0
1212,Jamie can you please reset the CGa grandfinal server... no administrator are responding unhappy ,0
545,I'm surprised you don't use an Adblocker! happy,1
2203,miss you unhappy ,0
1195,I want fun plans this weekend unhappy ,0
2034, we buried it alive and now it's screaming in my head crying ,0
1004,wow whattay decision both parties celebrating :D,1
275,Nearly done now! Thanks everyone for joining and hope to see you same time next Thursday happy,1
138,Found use for the sewable LED holder happy,1
746,I know  vearey moving. and TWISTY! And you aaree are,1
62,Spending time with dogs or other animals is great at helping you to relax and de-stress. Great idea happy,1
1078,haha! i would love to work for a train company :D be a great dream come true!,1
2016,Well thanks for stoping by unhappy ,0
2042,I'm all fucked up right now unhappy ,0
2115,Never want to finish desperate housewives what will I do with my life unhappy ,0
1689,A fish killer going to be pressed younhappy  I the hoe of today you were a  GOOD person ,0
1028,mutual: let's talk more!me: for sure!mutual:  happy  me:.9,1
1673, in fact. ,0
831,Yep I'm going back to school to become an editor hopefully. Can't wait! Your sister really believes in my skills happy,1
1036,Thank you! happy,1
449,Well this was fun. Thanks for stopping by and giving me shit tonight fellas  :D much love. FeelsGoodMan,1
1734,That's shocking and evil unhappy ,0
75, Thank you happy,1
2190,I only just absorbed that I'm not going to get to laugh when he gets 2000 votes. unhappy  .4,0
50,smile  So true. For someone who was being recognised for her contribution to fashion,1
2268,IM HUNGRY unhappy ,0
1746, but I'm a bit rusty now! unhappy  .1,0
630,Another day! Good morning!! It's April 20,1
2154, assumes Im outsider because of my ,0
437,Good morning! I hope you slept well~ happy,1
1000, much appreciated happy   Want this.1,1
1135,apr. 26th beach house! dinner+music+ party with oldies goldies happy  buffet / BBQ 40TLbeer-  wein10TL raki12.5TL h,1
1921,Aseek ,0
433, chaged for the best for our Singto. Please,1
1044,keep loving Deepika ,1
1595,Didn't keep it unhappy ,0
571,no i don%27t :)),1
564,Hi :D Retweet for a follow!!!,1
682,no I'm waiting for jail break happy,1
628,Please,1
154,a friend who would like a BRAND NEW Strapback hats only 14.99 at,1
1844,Definitely my arms unhappy  .5,0
2052,Miss my friends unhappy ,0
2242,get well really soon Jack unhappy ,0
1196,When can you notice me.  unhappy  what?  ,0
1772,slight buzy kasi besh unhappy  .1,0
285,Helloo :D Best damn avocado (Batsyy_),1
1826,yeah sad ,0
2271,U blackmailed me unhappy ,0
804,Same happy  I'll see closer to the con but it's no more than five or so. Lol same :D,1
1536,Also please send prayers and sympathy because my favorite ball dress doesn't fit my boobs crying  ,0
1046,Made new logotypes for Really fun to work on  You should follow if you want to keep yourself updated,1
240,The one with backward cap,1
1262,6 days in camp haiss miss you a lot unhappy ,0
359, er,1
299,Hopefully it should be OK happy  Charts don't look too bad at moment but depends on tides  directions,1
1714,talking to my over driver about where I'm goinghe said he'd love to go to New York too but since Trump it's probably not.3,0
2216,those nights you're sad in real life and cant sleep unhappy ,0
1104,my favorite hobby is finding the negative in a positive thing happy,1
316, you need a direct coffee feed to Starbucks happy,1
2123, but customs mean we can't send food abroad unhappy  We do hope your other Birthday dreams come true,0
1383, I love you  have fun with your friends ,0
1123,Thanks,1
1023,More kid/parent friendly spaces like this please.,1
863,Nice gif happy,1
1918,No Celtics or Bruins today unhappy  At least Sale is pitching for the Sox,0
1721,Hello I am getting cyber bullied by do something about it unhappy ,0
1771,Chin up Leo crying  ,0
2259,aw younhappy  i miss you too ,0
1108,after that I was charged because of the driver happy  after waiting in the sun for 10 minutes! TEN!,1
1314,your system does not recognize spaces in last names so for 2nd time unable to check in  forced to wait in unnecessary lines unhappy ,0
1889,PSA: REMEMBER THIS WHEN YOU ASK ARTISTS TO DRAW FOR YOU. I'd say the same thing for writers but apparently commissi ,0
1420, he'll kil ,0
608,Opening sentences of happy,1
1047,Shut up,1
51, she might have dressed a bit better.,1
512,Share the love - High Value Members of this week happy,1
1605,usually a speedboat behind any we get here on the river unhappy  ,0
1566,this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca.3,0
2072,In so much pain. My eye hurts unhappy  ,0
2186,Bells gone to daddies for to  days. Work  work work for me unhappy ,0
1491,man its been about 2hrs since their vlive...its nearly over for sydney ppl... unhappy  goes so quick so appreciate every second!!,0
1633,please meeeee you have followed me for almost to  years now unhappy ,0
1588,yeah unhappy ,0
177,You're welcome Thomas happy  Kim,1
1557,They have a whole Japan tour ahead of them.. One that will be quite brutal on their already tired bodies. Boys unhappy ,0
1116,This makes a great point,1
1136,We've been selected among the top 20 Social Media blogs,1
2267,YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways .8,0
2004, buy or do anything that supports Canada until,0
1943,its ending soon aah unhappy ,0
219,Did you see this one? happy  Transitional Piece // Chiffon Dress,1
861,Watch your words happy,1
111,Happy belated birthday :)Another duet of you and Amaal is much needed,1
663,That would be a great trick happy.1,1
1161,That would be a great trick happy.9,1
818,I love it when pretty girls call me pretty like bitch tf you too happy  let's be friends,1
1084,Hey thanks for being top new followers this week! Much appreciated happy   Want this ?,1
581,I've been trying to bank sleep all week happy  I doubt I'll be able to sleep Friday or Saturday night,1
1076,thanks for the follow,1
1804,Definitely my arms unhappy  .2,0
78,Thanks for the recent follow Happy to connect happy  have a great Thursday. (Want this?,1
882,Gourmet chocolates are special and should be reserved for special occasions. Plain MMs,1
2156,Oh well never liked Clay anyway unhappy ,0
1177,Thanks for the recent follow Happy to connect happy  have a great Thursday..33,1
446,Looking forward to this. Come out to see us! Our booth is going to be right in the center of the field. happy,1
229,hey.1,1
1106,Ah,1
1589,don't miss you anymore unhappy ,0
1114,Thanks for the recent follow Happy to connect happy  have a great Wednesday.,1
1063,Prettier 1.0 is not the end. I just released 1.2.0 that fixes another batch of edge cases happy,1
2151,Am away next Thursday unhappy  the one after!,0
736,friendly reminder that you can enjoy a movie or television show without having to trash another happy,1
777,Thanks for the recent follow Happy to connect happy  have a great Thursday.  Want this ?.2,1
1486,unhappy  i saw somebody said his hair fell out and bighit trying to figure it out,0
750, which is good for him happy.1,1
159,Love you too P!,1
1725,I'll be attending cosmic latte on saturday and i'll give these out to selu shippers KASI SELU MONTH QAQO unhappy  ,0
1058,Hi Yolandi,1
302,Only laksa can make me okaay now crying with joy  I need laksa,1
2144,Lage unhappy ,0
1786,fuckin' headache everyday unhappy ,0
2021,Gorbachev done  w/o fear. Thought bold enough to implement his vision on Damp Squib unhappy ,0
1929, I won't be on till later! unhappy ,0
2302, hindi close friend? unhappy,0
1825,Goodmorning!! My Parents are taking kids for lunch today- they are off school-Report Card! I'm wor ,0
1260,miss biking unhappy ,0
148,Ok. Just please read the replies on this....,1
2060,Why am I better at pen then pencil?dafaqcomonI just want to be a good drawer unhappy ,0
2179,Miss the rain unhappy ,0
463,No stress Mariana,1
2289,That was a FUN night! Sorry I missed last night unhappy  We really need to sync our calendars with and ,0
476,Superstar thanks so much for the kind words! Look forward to seeing you soon buddy smile,1
1374,Yesterday felt like friday unhappy ,0
1120,True! U can waste a day in social media and reading websites. On the other hand,1
534,that's insane! good luck for that! I took it off yesterday afternoon. :D,1
2239,I miss Temperance Brennan and Seeley Booth so much unhappy .1,0
422,made dinner for two tonight happy,1
1871,Guys please help I tried to smoke some lettuce earlier but now my salad is ruined unhappy ,0
1494,That sucks unhappy ,0
418,Congratulations,1
133, i love you i guess happy,1
759, or SHIT for short :)*Thanks to my friend maddy over at,1
706,Follow him happy,1
2194,Oh no Andy unhappy ,0
1228, Another ATBB on it's way ! I wish Srk Sir starts signing good movies unhappy  ,0
2210,I work so much better there unhappy ,0
2300,Same unhappy .1,0
146, looking forward to you visiting! You've picked a great day too,1
603, Order what ever you want to eat through our website.May you all have a great day happy.1,1
1152, months and years of bonding and happiness  family MCLISSE StarMu,1
2155,oh shiiiiid noooooor unhappy  ,0
617,Thanks for the recent follow Happy to connect happy  have a great Thursday..8,1
859,In class and I'm really bored so why not happy  Rt for one!! Mutuals  non mutuals Pls don't let me flop ;-;,1
455,How people write a joke on religion online.*Joke**Just joking guys,1
768,Many thanks,1
762,Thanks for the retweets this week. Much appreciated happy   Want this? It's FREE!,1
1126, that's Europe,1
1165,Retweet if you are with us? Kaway kaway family :)MCLISSE StarMusicIfWeFallinLove,1
197,Love them! Can I get some? smile,1
1384,YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways .5,0
637,where ? happy,1
490,ready for 420 happy,1
2058,No one is offering this poor old lady a seat unhappy ,0
2245,I'm so tired of pretending I'm not falling for you unhappy ,0
326,little fans. - happy,1
459,Hey thanks for being my top new followers this week! Much appreciated happy   Want this ?,1
1310,Dude I just want more sleep unhappy ,0
410,Thanks for the follow happy  If we can help your business in anyway please get in touch,1
2046,Koalas are dying of thirst  and it's all because of us unhappy  .8,0
1693,I face swapped a cat with a dog and it's really upsetting unhappy  .3,0
1025,Va astept la acest eveniment! :)Next events:,1
915,Gamer Follow Train!Follow MeRetweet thisFollow all who retweetedGain active followers happy  450,1
2074,It's hard to imagine anyone but Robin unhappy  but still exciting nonetheless,0
1402,Wish I could stay in bed all day and listen to the rain sad ,0
1498,GOD NOT THE KOALAS ,0
1751,Hi Ashish! We tried to call your number but got no response unhappy  Please share another suitable time and an alternate.. cont1,0
569,Fri or Thu? I'm going to the Friday showing :D,1
594,Good morning every one,1
685, have a great Thursday! Looking forward to reading your tweets happy  (Want this? It's FREE!,1
1222, it looks like iOS 11 is due to kill it unhappy  ,0
1951, 24-20 unhappy ,0
556,If school has taught us anything,1
543,Don't mention it! :D,1
1005,Free market is tops!!! Real human rights sound great to me,1
2086,jungkook looks like he gives the biggest and warmest hugs unhappy  .1,0
1674,I'm so glad I don't care what people think anymore but I wish I still looked my best everyday like I used too sad  I just pick,0
2079,I feel so awful today unhappy  I don't want to go to my internship,0
2281, but how about yours? unhappy ,0
2279,:'(( well,0
2038,NOOOO in here is 6.45 ;_; I have classes at that time unhappy ,0
1254,Hey Tony,0
1085,Thanks for being High Value Member  this week,1
591,Agreed! I feel like I've skipped too many css/design fundamentals. I'm spending the next couple of,1
1170,Be happy,1
117,=Thumbnail UHC= This is my best render ever :Dand Favs are appreciated brosOpinios ?,1
2049,can I only pick one unhappy  ,0
2172,unhappy  But if there'll be 1 Silver-that'd be him!,0
1895,don't rt to save a guy's life ,0
402,Thankfully I didn't have to chop it myself,1
1920,Nooo your hair color is pretty .1,0
70,Well,1
451,see the next tweet! I did about 5 different things while keeping very calm,1
1453, I just hope everything goes right from now on unhappy ,0
1952,i hope this little beaand is andot overworkiandg himself and gettiandg at least some rest unhappy  .2,0
17,Take a look at favourites.io You can do this and more happy,1
2284,don%27t be surprised if you see me cry today,0
910,Thanks for the recent follow Happy to connect happy  have a great Thursday..23,1
1770,this is jimin to yoongi unhappy  ,0
2059,lexxxxxy unhappy  youre too nice to me instant message really not eek  ,0
1474,I'm a building a LLVM backend so,0
1432,ugh i miss my baby crying ,0
1277, I sincerely hope not too many priceless antiques were destroyed. Reg ,0
1373, he can't leave us unhappy ,0
369, huh? happy,1
1709,Finals are next week unhappy  wish me luck x,0
169,We're ready for our next fire lighting session at - we have a few keen early birds here already smile,1
664,i have a goal today happy  i%27m going to accomplish it,1
2122,We'd love to,0
972, I'll like her happy,1
649,Thanks for the recent follow Happy to connect happy  have a great Thursday. Want this ?,1
180, so I'm super impressed he's got his musical mojo back! Thank you so much happy,1
677,National BitBucket Unfriending Day to save $2 smile,1
65,Love your tweetability! We'd like to reach out to with an opportunity! Could you hit us with your email happy,1
1269,Visual Studio Installation - 89% .. BSOD comes suddenly unhappy ,0
1272,crying  muh feels,0
236,I suppose they are waiting for you happy,1
1956,unhappy  oh man..,0
215,Happy birthday Megan happy,1
1501,I could write paragraphs about it xDShame its theoretically impossible in real life unhappy ,0
18,Go back to school for music! I think I will in time happy,1
614, just type and ask anything you like happy  aa jao for,1
135,The offer still going happy,1
1113, random winner :D Retweet AND LIKE to be able to win happy,1
1594, mine isn't in my inbox unhappy ,0
2083,Used up a month's worth at Laugharne Weekend sad  (no wi-fi in small Carmarthenshire towns,0
1827,Streaming later in the day (night stream) since i have to go and take care of the internet contract,0
708,tats! I have question happy,1
405,Ready Now! One 9 week old chocolate female puppy from Harlowe x Sterling! happy  This girl is a sweetheart and has a...,1
1930,Lets hope a VIP does this good deed. I want to watch this too . They shouldn't have done thi ,0
936,We've 80 so far in our collection of 150+! happy  New gin menu coming soon as well!,1
1531,Still not possible! unhappy ,0
1972,jyoustinbieber can you please follow me on daianeryoufato i've been trying for too long unhappy  i love you so much baby! xx (April 20,0
1541,Hope he's ok,0
933,Veronice and Jughead! happy.1,1
531,thanks for the recent follow. Much appreciated happy  Get it,1
1672,The biblical lectures are coming. More notification soon. Tomorrow,0
202,for the recent follow. Much appreciated happy  Want this?,1
1070,Made my day! Great story happy,1
1092,In case you missed it,1
2137,Koalas are dying of thirst  and it's all because of us unhappy  .10,0
527,Unnamed: 527,1
132, but happy birthday hoe! have a good day,1
1561,clay and hannah   - they were so in love they deserved to be endgame unhappy  ,0
1749,what a great thing to be sad about unhappy ,0
1687,i miss hoseok unhappy  ,0
2028,That is super scary unhappy ,0
1903,I'm so tired unhappy ,0
733,Client work for rt and favorite happy.1,1
1814,I WAITED FOR U unhappy ,0
235,What a day! What better way to spend this sunny day than drinks by the shore happy,1
2193,I wish I could say the gangs all here but Daniel's not in this picture. unhappy   Rantoul Twp High ,0
2008,Don't ask. Two special issues lined up. unhappy ,0
1973, 2017 at 08:45AM),0
2078,Rl? Serius? ,0
618,Physics will have 80 formulas to memorize Ha.ha.ha happy,1
415,This never happened with our happy,1
1271,So sad unhappy  ,0
1586,R.I.P cellphone unhappy ,0
341,Nothing could be better happy.3,1
1320,i tried fixing my choristers dress hem that came undone by taping it with fabric tape but i put it on wrong and its even more ruined unhappy ,0
2188,Well that's my weekend viewing plans changed! unhappy ,0
1868,ill be at work just a second come on unhappy ,0
1390,Got a msg! Oops not you unhappy ,0
901,I really must go see Power Rangers again. smile,1
570,I was thinking about how I don't want to go to school and I'm suddenkyfeeling good happy,1
339,I love it when Ben sleeps in because I get to watch all the programmes I want on Netflix without interruption !!!! happy,1
61, DM us happy  S,1
1236,talking to my over driver about where I'm goinghe said he'd love to go to New York too but since Trump it's probably not.1,0
921,mutual: let's talk more!me: for sure!mutual:  happy  me:.8,1
1790,What did he say I'm at work unhappy  totally made my day though,0
1950, 2010 Week 11,0
740,Thanks for being top engaged community members this week happy  Want this?,1
1720,it's only been a few days since their promotion ended but i'm already missing her so much unhappy  .2,0
555,aw BCC is having a PRIDE prom and i kind of want to go happy,1
806,Thanks for the recent follow Happy to connect happy  have a great Thursday..16,1
96,Ministers of PMLN are happy like those students who never studied for exams  luckily exams got delayed. They'll still ha,1
1960,Hi! We tried to call your number but got no response unhappy  Please share another suitable time and an alternate number.. cont1,0
1761,Someone build house on (4) i cant do it unhappy  cant believe this hasn't already been done????,0
183,SONE who cant stream at Genie!You CAN stream for TY at Genie! We are still sharing some Genie IDs. If you want it.1,1
596,thanks for the recent follow. Much appreciated happy  Get this,1
1273,Look like somethings i will ignore xD Kart Racing when? unhappy ,0
703,Thanks for the recent follow Happy to connect happy  have a great Thursday..11,1
1666,I need a car unhappy  but no car unhappy  poor me unhappy ,0
1927, Who hacked me unhappy ,0
1627,talking to my over driver about where I'm goinghe said he'd love to go to New York too but since Trump it's probably not.2,0
2275,I hate losing online friends unhappy  it's cruel when people deactivate unhappy  ,0
1316,- Thank you tons,0
976,Cheers :D,1
1908,they would have sustained their fame if they did unhappy ,0
442,Thanks for your feedback! It' just the starting phase,1
671,I'll keep you awake happy,1
1246,pamura isa because in this very moment,0
1444,i miss jihoon sad ,0
1386,Punishment time for JB's team! unhappy  ,0
1048, you don't ever have to thank me J hunt,1
1093, I released a new video about game genres.RTs are super appreciated happy,1
680,Hi Carlo! I'm okay nmn. Howdy? happy,1
914, yes it would have if it hadn't been for those meddling clouds smile,1
1981,this song will always be one of my faves unhappy  ,0
129,Here is a new thesis by another genius.Sir,1
551,Just over 91% in favour of the unelectable Jeremy Corbyn happy,1
833,Currently standing outside the shard with a bag full of empty bottles because I came to work with tom today happy,1
1743,this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca.9,0
2003,WTF Canada 2017 and you are still in the 1700s. I Will Never support,0
967,Let me eat that cake! :D :P,1
1941,Same unhappy  I've unfollowed so many people ugh,0
1535,I should do aegyo because I lost unhappy  ,0
1522,i feel so sick today unhappy ,0
1524,its my birthday tomorrow baby unhappy ,0
268,kind of jealous with you all laughs but it's ny fault for not working hard happy,1
1580,The most painful goodbyes are the onesthat are never said and never explained crying  unhappy  :/,0
305,mutual: let's talk more!me: for sure!mutual:  happy  me:.2,1
276,Oh that feel when you have 10 gems :D,1
908, if anyone has got a design or could find me one I would be so grateful to you :D,1
1313,I face swapped a cat with a dog and it's really upsetting unhappy  ,0
964,instant message perfectly fine :D how about you fellow ken,1
692,there we go again smile,1
307,Tara,1
917,rt for 13 ffs-it's not much but they're free-legit-free but follow me first to get them quicker-be patient i will g.1,1
289,i welcome you to germany then. i have no authority to welcome you in the other countries though! happy,1
1071,i will do happy,1
1760,what's wrong with you why don't you like animals unhappy ,0
484,Do happy we are at 27 million keep it up happy  and we are at 71 million we are so close to have another 100m,1
956,your an inspiration to everyone Miss Jones happy,1
2285, instant message in a lot of pain and the school doesnt allow my to have my pain meds unhappy ,0
1730,Typed up all the medical  shorthand abbreviation we use for work,0
1244,Koalas are dying of thirst  and it's all because of us unhappy  ,0
1776,penge damit unhappy .1,0
312, DM us happy  S.2,1
977,thanks for the recent follow. Much appreciated happy  Want this.2,1
1801,Definitely my arms unhappy  .1,0
2183,Koalas are dying of thirst  and it's all because of us unhappy  .12,0
1129,YO THANK YOU FOR OVER 15,1
1055,Sir Ash Ketchum and Princess May. happy,1
210, new job starts in to  weeks! :D,1
376,mutual: let's talk more!me: for sure!mutual:  happy  me:.3,1
1401,last to  things i've bought from you no sweets unhappy ,0
67,uss,1
2103,this is jimin to yoongi unhappy  .5,0
1669,4/20 today,0
82,we finally got jinyoung to wipe it for jaebum himself but their precious son blocks it for the world to witness it,1
2167,this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca.15,0
927,opera Nirjhor As long as they are not claiming to be the first one :D /Rosi,1
515,Nothing moves faster than a girl untagging herself from an ugly picture :)KISSES TheFashionIcon,1
1274,did ate jenna just blocked me or what? unhappy ,0
2071,Okey unhappy ,0
149,THIS RIGHT HERE.aren't you happy you don't have [x]???NO. BECAUSE I'M STILL HERE IN THIS 'CONDITION' WITH NO I,1
294,always running out of space on my phone,1
573,A Treaty could provide security/ tech for culture development happy,1
1694,my honey unhappy  .1,0
1122,i love him so much i want to kindly stroke his penis :D,1
817,Thanks for the recent follow Happy to connect happy  have a great Thursday. Get this,1
666,happy birthday nimesh!!! happy,1
1622,wowwow these are all so cute unhappy  i wantt ,0
1482,oh my god same! we should attend on some lessons together sometime just kidding HAHAH ,0
1901,Thats grim unhappy ,0
820,Thanks for the recent follow Happy to connect happy  have a great Thursday..18,1
1336,why are your campervan tickets so expensive? unhappy ,0
1830,help me too unhappy  as an early birthday gift huhu,0
2299,i miss so much unhappy ,0
